Passengers,OperatedBy,Engines,CrashSiteElevation,Operator,OperatingFor,FlightNumber,Crew,Phase,Location,Time,Cycles,Type,GroundCasualities,TotalFatalities,TotalAirFrameHrs,Nature,AirplaneDamage,CarrierNumber,Registration,Date,DepartureAirport,AirplaneFate,CollisionCasualties,FirstFlight
Fatalities: 0 / Occupants: 0,-,3,-,Transcontinental & Western Air - TWA,-,-,Fatalities: 2 / Occupants: 2,Landing (LDG),United States of America / Amarillo-English Field# TX (AMA),,-,Ford 5-AT-B Tri-Motor,-,Fatalities: 2 / Occupants: 2,,Cargo,Damaged beyond repair,5-AT-037,NC9650,Wednesday 14 December 1932,?,,-,1929-03-26  (3 years 9 months)
Fatalities: 0 / Occupants: 0,-,3,-,Aeromarine Airways,-,-,Fatalities: 0 / Occupants: 0,Standing (STD),Cuba / Havana harbour,11:30,-,Aeromarine 75,-,Fatalities: 0 / Occupants: 0,,-,Damaged beyond repair,,registration unknown,xx xxx 1923,-,,-,
Fatalities: 0 / Occupants: 9,-,2,-,KLM Royal Dutch Airlines,-,-,Fatalities: 1 / Occupants: 2,En route (ENR),United Kingdom / St. Julians# Sevenoaks# Kent,ca 08:15,-,Fokker F.VIII,-,Fatalities: 1 / Occupants: 11,,International Scheduled Passenger,Damaged beyond repair,4993,H-NADU,Monday 22 August 1927,# United Kingdom,,-,1926
Fatalities: 0 / Occupants: 0,-,3,-,Transcontinental & Western Air - TWA,-,-,Fatalities: 1 / Occupants: 2,Takeoff (TOF),United States of America / Oklahoma City# OK,ca 08:15,-,Ford 4-AT-E Tri-Motor,-,Fatalities: 1 / Occupants: 2,,Ferry/positioning,Damaged beyond repair,4-AT-33,NC7119,Saturday 19 December 1931,# United States of America,,-,1928-08-28  (3 years 4 months)
Fatalities: 0 / Occupants:,-,3,-,National Air Transport,-,-,Fatalities: 0 / Occupants:,Unknown (UNK),United States of America / Ashley# IN,ca 08:15,-,Ford 5-AT-C Tri-Motor,-,Fatalities: 0 / Occupants:,,Unknown,Damaged beyond repair,5-AT-087,NC427H,Tuesday 27 October 1931,?,,-,1930-11-21  (11 months)
Fatalities:  / Occupants:,-,3,-,Deutsche Lufthansa,-,-,Fatalities:  / Occupants:,Unknown (UNK),Germany / at an unknown location,ca 08:15,-,Junkers G.31ce,-,Fatalities:  / Occupants:,,Unknown,Damaged beyond repair,3001,D-1137,xx DEC 1928,?,,-,
Fatalities: 0 / Occupants:,-,3,-,Texaco,-,-,Fatalities: 0 / Occupants:,Takeoff (TOF),United States of America / Floresville# TX,ca 08:15,-,Ford 4-AT-A Tri-Motor,-,Fatalities: 0 / Occupants: 4,,Unknown,Damaged beyond repair,4-AT-14,NC3443,Saturday 22 December 1928,?,,-,1927-12-14  (1 year )
Fatalities:  / Occupants:,-,3,-,Handley Page Transport,-,-,Fatalities:  / Occupants:,Unknown (UNK),France / Berck-sur-Mer,ca 14:00,-,Handley Page O/10,-,Fatalities:  / Occupants:,,Unknown,Damaged beyond repair,HP-42,G-EATM,Friday 30 December 1921,?,,-,
Fatalities: 2 / Occupants: 6,-,3,-,Handley Page Transport,-,-,Fatalities: 2 / Occupants: 2,Initial climb (ICL),United Kingdom / Golders Green,ca 14:00,-,Handley Page O/400,-,Fatalities: 4 / Occupants: 8,,International Scheduled Passenger,Damaged beyond repair,HP-25,G-EAMA,Tuesday 14 December 1920,# United Kingdom,,-,
Fatalities: 0 / Occupants:,-,3,-,Aeroflot,-,-,Fatalities: 0 / Occupants:,Unknown (UNK),Russia / Chita region,ca 14:00,-,Antonov 2,-,Fatalities: 0 / Occupants:,,Unknown,Substantial,,CCCP-01216,date unk.,?,Repaired,-,
