Country,latlon,place
Peru,"(-9.189967, -75.015152)",Peru
Germany,"(51.165691, 10.451526)",Germany
Mexico,"(23.634501, -102.552784)",Mexico
Myanmar,"(21.916221, 95.955974)",Myanmar (Burma)
Brazil,"(-14.235004, -51.92528)",Brazil
Italy,"(41.87194, 12.56738)",Italy
France,"(46.227638, 2.213749)",France
United States of America,"(37.09024, -95.712891)",United States
United States of America,"(37.09024, -95.712891)",United States
Russia,"(61.52401, 105.318756)",Russia
France,"(46.227638, 2.213749)",France
Germany,"(51.165691, 10.451526)",Germany
Canada,"(56.130366, -106.346771)",Canada
United States of America,"(37.09024, -95.712891)",United States
United States of America,"(37.09024, -95.712891)",United States
Bolivia,"(-16.290154, -63.58865299999999)",Bolivia
France,"(46.227638, 2.213749)",France
Ecuador,"(-1.831239, -78.18340599999999)",Ecuador
China,"(35.86166, 104.195397)",China
Netherlands,"(52.132633, 5.291265999999999)",Netherlands
Japan,"(36.204824, 138.252924)",Japan
Philippines,"(12.879721, 121.774017)",Philippines
Mediterranean Sea,"(34.5531284, 18.0480105)",Mediterranean Sea
Gibraltar,"(36.140751, -5.353585)",Gibraltar
Germany,"(51.165691, 10.451526)",Germany
Argentina,"(-38.416097, -63.61667199999999)",Argentina
United Kingdom,"(55.378051, -3.435973)",United Kingdom
Spain,"(40.46366700000001, -3.74922)",Spain
Spain,"(40.46366700000001, -3.74922)",Spain
Spain,"(40.46366700000001, -3.74922)",Spain
Djibouti,"(11.825138, 42.590275)",Djibouti
United Kingdom,"(55.378051, -3.435973)",United Kingdom
Germany,"(51.165691, 10.451526)",Germany
Australia,"(-25.274398, 133.775136)",Australia
United Kingdom,"(55.378051, -3.435973)",United Kingdom
United Kingdom,"(55.378051, -3.435973)",United Kingdom
Peru,"(-9.189967, -75.015152)",Peru
China,"(35.86166, 104.195397)",China
Greece,"(39.074208, 21.824312)",Greece
China,"(35.86166, 104.195397)",China
United States of America,"(37.09024, -95.712891)",United States
United Kingdom,"(55.378051, -3.435973)",United Kingdom
France,"(46.227638, 2.213749)",France
Germany,"(51.165691, 10.451526)",Germany
Germany,"(51.165691, 10.451526)",Germany
Germany,"(51.165691, 10.451526)",Germany
Guatemala,"(15.783471, -90.23075899999999)",Guatemala
India,"(20.593684, 78.96288)",India
Libya,"(26.3351, 17.228331)",Libya
United Kingdom,"(55.378051, -3.435973)",United Kingdom
Germany,"(51.165691, 10.451526)",Germany
Greece,"(39.074208, 21.824312)",Greece
United States of America,"(37.09024, -95.712891)",United States
Germany,"(51.165691, 10.451526)",Germany
United States of America,"(37.09024, -95.712891)",United States
Chile,"(-35.675147, -71.542969)",Chile
Germany,"(51.165691, 10.451526)",Germany
United States of America,"(37.09024, -95.712891)",United States
