SubLocation,Country,latlon,place,sub_latlon,sub_place
unknown,Peru,"(-9.189967, -75.015152)",Peru,"(41.6262707, -79.6735841)","Unknown, 101 W Spring St, Titusville, PA 16354, USA"
at an unknown location,Germany,"(51.165691, 10.451526)",Germany,,
"Boca Chica, Tamaulipas",Mexico,"(23.634501, -102.552784)",Mexico,"(25.9516829, -97.3341488)","Boca Chica Blvd, Brownsville, TX, USA"
Akyab Main RAF StationAKY),Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),,
near Río Putumayo,Brazil,"(-14.235004, -51.92528)",Brazil,"(-2.6584061, -69.7378901)",Putumayo River
Aiello Calabro,Italy,"(41.87194, 12.56738)",Italy,"(39.1172152, 16.166775)","87031 Aiello Calabro CS, Italy"
near Paris,France,"(46.227638, 2.213749)",France,"(48.856614, 2.3522219)","Paris, France"
"Oklahoma City, OK",United States of America,"(37.09024, -95.712891)",United States,,
"Amarillo-English Field, TXAMA)",United States of America,"(37.09024, -95.712891)",United States,,
at an unknown location,Russia,"(61.52401, 105.318756)",Russia,,
Toussus-le-Noble,France,"(46.227638, 2.213749)",France,"(48.747565, 2.112559)","78117 Toussus-le-Noble, France"
at an unknown location,Germany,"(51.165691, 10.451526)",Germany,,
"Tulita Airport, NTZFN)",Canada,"(56.130366, -106.346771)",Canada,,
"Charleston-Yeager Airport, WVCRW)",United States of America,"(37.09024, -95.712891)",United States,"(38.3704854, -81.59670489999999)","Yeager Airport, 100 Airport Rd, Charleston, WV 25311, USA"
"Chignik, AK",United States of America,"(37.09024, -95.712891)",United States,"(56.2952778, -158.4022222)","Chignik, AK, USA"
near Sorata,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,"(-15.7696181, -68.6469359)","Sorata, Bolivia"
"Valence, Drôme",France,"(46.227638, 2.213749)",France,"(44.933393, 4.89236)","26000 Valence, France"
Quito-Cotocollao Airport,Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,,
"TsingtaoQuingdao), Shandong",China,"(35.86166, 104.195397)",China,"(36.1397055, 120.3834964)","Qing Dao Pi Jiu, Shibei Qu, Qingdao Shi, Shandong Sheng, China, 266100"
near Amsterdam-Schiphol Municipal AirportAMS),Netherlands,"(52.132633, 5.291265999999999)",Netherlands,,
off Kerama Islands,Japan,"(36.204824, 138.252924)",Japan,"(26.2, 127.3333333)","Kerama-retto, Japan"
off Manila,Philippines,"(12.879721, 121.774017)",Philippines,"(14.567757, 121.0488623)","Guadalupe Office, Manila, Metro Manila, Philippines"
480 km300 mls) NW off  Alexandria,Mediterranean Sea,"(34.5531284, 18.0480105)",Mediterranean Sea,,
10 km6.3 mls) S off  Europa Point [Strait of ],Gibraltar,"(36.140751, -5.353585)",Gibraltar,,
Bayerisch Eisenstein,Germany,"(51.165691, 10.451526)",Germany,"(49.1216274, 13.1991744)","Bayerisch Eisenstein, Germany"
"El Palomar, BA",Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(-34.6266731, -58.5943604)","El Palomar, Buenos Aires Province, Argentina"
"Tiverton, Devon",United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(50.902049, -3.491207)","Tiverton EX16, UK"
"near Lastras de Cuellar, Segovia",Spain,"(40.46366700000001, -3.74922)",Spain,"(41.2974416, -4.1072485)","40352 Lastras de Cuéllar, Segovia, Spain"
near Olías,Spain,"(40.46366700000001, -3.74922)",Spain,"(36.7703788, -4.319914799999999)","29197 Olías, Málaga, Spain"
near Olías,Spain,"(40.46366700000001, -3.74922)",Spain,"(36.7703788, -4.319914799999999)","29197 Olías, Málaga, Spain"
Gabode,Djibouti,"(11.825138, 42.590275)",Djibouti,"(11.5614431, 43.1447389)",Djibouti
Isles of Scilly,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(49.936111, -6.322778)","Isles of Scilly, UK"
