SubLocation,Country,latlon,place,sub_latlon,sub_place,FlighNumber
unknown,Peru,"(-9.189967, -75.015152)",Peru,"(-9.189967, -75.015152)",Peru,0
at an unknown location,Germany,"(51.165691, 10.451526)",Germany,"(51.165691, 10.451526)",Germany,1
"Boca Chica, Tamaulipas",Mexico,"(23.634501, -102.552784)",Mexico,"(25.9516829, -97.3341488)","Boca Chica Blvd, Brownsville, TX, USA",2
Akyab Main,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(20.132722, 92.872956)","Sittwe Airport (AKY), Ye Nwe Su Quarter, Sittwe, Myanmar (Burma)",3
near Río Putumayo,Brazil,"(-14.235004, -51.92528)",Brazil,"(-2.6584061, -69.7378901)",Putumayo River,4
Aiello Calabro,Italy,"(41.87194, 12.56738)",Italy,"(39.1172152, 16.166775)","87031 Aiello Calabro CS, Italy",5
near Paris,France,"(46.227638, 2.213749)",France,"(48.856614, 2.3522219)","Paris, France",6
"Oklahoma City, OK",United States of America,"(37.09024, -95.712891)",United States,"(35.4675602, -97.5164276)","Oklahoma City, OK, USA",7
Amarillo-English Field,United States of America,"(37.09024, -95.712891)",United States,"(35.2168694, -101.709809)","Rick Husband Amarillo International Airport (AMA), 10610 American Dr, Amarillo, TX 79111, USA",8
at an unknown location,Russia,"(61.52401, 105.318756)",Russia,"(61.52401, 105.318756)",Russia,9
Toussus-le-Noble,France,"(46.227638, 2.213749)",France,"(48.747565, 2.112559)","78117 Toussus-le-Noble, France",10
at an unknown location,Germany,"(51.165691, 10.451526)",Germany,"(51.165691, 10.451526)",Germany,11
Tulita Airport,Canada,"(56.130366, -106.346771)",Canada,"(64.90910199999999, -125.567917)","Tulita Airport (ZFN), Tulita, NT X0E 0K0, Canada",12
"Charleston-Yeager Airport, WVCRW)",United States of America,"(37.09024, -95.712891)",United States,"(38.3704854, -81.59670489999999)","Yeager Airport, 100 Airport Rd, Charleston, WV 25311, USA",13
"Chignik, AK",United States of America,"(37.09024, -95.712891)",United States,"(56.2952778, -158.4022222)","Chignik, AK, USA",14
near Sorata,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,"(-15.7696181, -68.6469359)","Sorata, Bolivia",15
"Valence, Drôme",France,"(46.227638, 2.213749)",France,"(44.933393, 4.89236)","26000 Valence, France",16
Quito Cotocollao ,Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,"(-0.1258648, -78.50644729999999)","Cotocollao, Quito, Ecuador",17
"TsingtaoQuingdao), Shandong",China,"(35.86166, 104.195397)",China,"(36.1397055, 120.3834964)","Qing Dao Pi Jiu, Shibei Qu, Qingdao Shi, Shandong Sheng, China, 266100",18
Amsterdam Schiphol Municipal ,Netherlands,"(52.132633, 5.291265999999999)",Netherlands,"(52.3105386, 4.7682744)","Amsterdam Airport Schiphol (AMS), Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands",19
off Kerama Islands,Japan,"(36.204824, 138.252924)",Japan,"(26.2, 127.3333333)","Kerama-retto, Japan",20
off Manila,Philippines,"(12.879721, 121.774017)",Philippines,"(14.567757, 121.0488623)","Guadalupe Office, Manila, Metro Manila, Philippines",21
 Alexandria,Mediterranean Sea,"(34.5531284, 18.0480105)",Mediterranean Sea,"(31.2000924, 29.9187387)","Alexandria, Alexandria Governorate, Egypt",22
],Gibraltar,"(36.140751, -5.353585)",Gibraltar,"(36.140751, -5.353585)",Gibraltar,23
Bayerisch Eisenstein,Germany,"(51.165691, 10.451526)",Germany,"(49.1216274, 13.1991744)","Bayerisch Eisenstein, Germany",24
"El Palomar, BA",Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(-34.6266731, -58.5943604)","El Palomar, Buenos Aires Province, Argentina",25
"Tiverton, Devon",United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(50.902049, -3.491207)","Tiverton EX16, UK",26
"near Lastras de Cuellar, Segovia",Spain,"(40.46366700000001, -3.74922)",Spain,"(41.2974416, -4.1072485)","40352 Lastras de Cuéllar, Segovia, Spain",27
near Olías,Spain,"(40.46366700000001, -3.74922)",Spain,"(36.7703788, -4.319914799999999)","29197 Olías, Málaga, Spain",28
near Olías,Spain,"(40.46366700000001, -3.74922)",Spain,"(36.7703788, -4.319914799999999)","29197 Olías, Málaga, Spain",29
Gabode,Djibouti,"(11.825138, 42.590275)",Djibouti,"(11.5614431, 43.1447389)",Djibouti,30
Isles of Scilly,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(49.936111, -6.322778)","Isles of Scilly, UK",31
off Wangerooge [North Sea],Germany,"(51.165691, 10.451526)",Germany,"(51.165691, 10.451526)",Germany,32
"Sydney-Mascot Airport, NSWSYD)",Australia,"(-25.274398, 133.775136)",Australia,"(-33.9399228, 151.1752764)","Sydney Airport (SYD), Sydney NSW 2020, Australia",33
"Milford Haven in Dale Roads, Pembrokeshire",United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(52.35124399999999, -2.2935846)","Pembroke Way, Stourport-on-Severn DY13, UK",34
Pembroke Dock RAF Station,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.69392, -4.938079999999999)","Pembroke Dock SA72 6HA, UK",35
Pias,Peru,"(-9.189967, -75.015152)",Peru,"(38.0198779, -7.47655)","7830 Pias, Portugal",36
near Nanking AirportNKG),China,"(35.86166, 104.195397)",China,"(31.7338222, 118.8719394)","China, Jiangsu, Nanjing, Jiangning, 禄口镇禄口街道 Nanjing Lukou International Airport (NKG)",37
"Mirabellou Gulf, Crete",Greece,"(39.074208, 21.824312)",Greece,"(35.1677936, 25.7811869)","Kolpos Mirampelou, Greece",38
Chengtu,China,"(35.86166, 104.195397)",China,"(43.0749842, -76.07551819999999)","6430 Kirkville Rd, East Syracuse, NY 13057, USA",39
Milford,United States of America,"(37.09024, -95.712891)",United States,"(41.2306979, -73.064036)","Milford, CT, USA",40
London-Croydon Airport,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.3565427, -0.1176014)","Airport House, Purley Way, Croydon CR0 0XZ, UK",41
Le Grand-Bornand,France,"(46.227638, 2.213749)",France,"(45.942027, 6.426698999999999)","74450 Le Grand-Bornand, France",42
near Hannover,Germany,"(51.165691, 10.451526)",Germany,"(52.3758916, 9.732010400000002)","Hanover, Germany",43
near Lauf an der Pegnitz,Germany,"(51.165691, 10.451526)",Germany,"(49.5110483, 11.2780245)","91207 Lauf an der Pegnitz, Germany",44
near Tabarz,Germany,"(51.165691, 10.451526)",Germany,"(50.87848109999999, 10.5115698)","Tabarz, Germany",45
near San José Pinula,Guatemala,"(15.783471, -90.23075899999999)",Guatemala,"(14.5447785, -90.41016189999999)","San José Pinula, Guatemala",46
Delhi,India,"(20.593684, 78.96288)",India,"(28.7040592, 77.10249019999999)","Delhi, India",47
off Benghazi,Libya,"(26.3351, 17.228331)",Libya,"(32.1162358, 20.0727897)","Shari' ash Shuhada, Benghazi, Libya",48
London-Gatwick AirportLGW),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.1536621, -0.1820629)","Gatwick Airport (LGW), Horley, Gatwick RH6 0NP, UK",49
Frankfurt,Germany,"(51.165691, 10.451526)",Germany,"(50.1109221, 8.6821267)","Frankfurt, Germany",50
"Mirabella Bay, Crete",Greece,"(39.074208, 21.824312)",Greece,"(35.1677936, 25.7811869)","Kolpos Mirampelou, Greece",51
"Glendale, CA",United States of America,"(37.09024, -95.712891)",United States,"(34.1425078, -118.255075)","Glendale, CA, USA",52
near Altenkirchen,Germany,"(51.165691, 10.451526)",Germany,"(50.687222, 7.645556000000001)","57610 Altenkirchen, Germany",53
"Hundred, WV",United States of America,"(37.09024, -95.712891)",United States,"(39.6836937, -80.45896859999999)","Hundred, WV 26562, USA",54
Copiapó Airport,Chile,"(-35.675147, -71.542969)",Chile,"(-27.2977627, -70.4141429)","Chamonate Airport (CPO), Copiapó, III Región, Chile",55
Dessau,Germany,"(51.165691, 10.451526)",Germany,"(51.83081660000001, 12.2423302)","Dessau, Dessau-Roßlau, Germany",56
Dunreith,United States of America,"(37.09024, -95.712891)",United States,"(39.8033789, -85.43858279999999)","Dunreith, IN, USA",57
near Madrid,Spain,"(40.46366700000001, -3.74922)",Spain,"(40.4167754, -3.7037902)","Madrid, Spain",58
"Terre Haute-Hulman Field, INHUF)",United States of America,"(37.09024, -95.712891)",United States,"(39.4491324, -87.3056672)","Terre Haute Regional Airport, 581 S Airport St, Terre Haute, IN 47803, USA",59
"Mount Lihesten, Hyllestad",Norway,"(60.47202399999999, 8.468945999999999)",Norway,"(61.1749982, 5.2144952)","Lihesten, Hyllestad, Norway",60
"Mount Lihesten, Hyllestad",Norway,"(60.47202399999999, 8.468945999999999)",Norway,"(61.1749982, 5.2144952)","Lihesten, Hyllestad, Norway",61
at an unknown location,Germany,"(51.165691, 10.451526)",Germany,"(51.165691, 10.451526)",Germany,62
Chicago Municipal Airport,United States of America,"(37.09024, -95.712891)",United States,"(41.78677589999999, -87.7521884)","Chicago Midway International Airport (MDW), 5700 S Cicero Ave, Chicago, IL 60638, USA",63
Algerian coast,Mediterranean Sea,"(34.5531284, 18.0480105)",Mediterranean Sea,"(36.6308741, -121.8073737)","Algeria Rd, Seaside, CA 93955, USA",64
near Elburg,Netherlands,"(52.132633, 5.291265999999999)",Netherlands,"(52.4492631, 5.834519299999999)","Elburg, Netherlands",65
OrvinIlfingen ,Switzerland,"(46.818188, 8.227511999999999)",Switzerland,"(46.818188, 8.227511999999999)",Switzerland,66
Port of Spain,Trinidad and Tobago,"(10.691803, -61.222503)",Trinidad and Tobago,"(10.6549013, -61.50192559999999)","Port of Spain, Trinidad and Tobago",67
"near Uniontown, PA",United States of America,"(37.09024, -95.712891)",United States,"(39.900076, -79.71643259999999)","Uniontown, PA 15401, USA",68
Nanking AirportNKG),China,"(35.86166, 104.195397)",China,"(31.7338222, 118.8719394)","China, Jiangsu, Nanjing, Jiangning, 禄口镇禄口街道 Nanjing Lukou International Airport (NKG)",69
E of Amecameca de Juárez,Mexico,"(23.634501, -102.552784)",Mexico,"(19.1223754, -98.7667481)","Amecameca, State of Mexico, Mexico",70
at an unknown location,Austria,"(47.516231, 14.550072)",Austria,"(47.516231, 14.550072)",Austria,71
near Zigong,China,"(35.86166, 104.195397)",China,"(29.33903, 104.778442)","Zigong, Sichuan, China",72
NE of Cochabamba,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,"(-17.4139766, -66.1653224)","Cochabamba, Bolivia",73
NE of Cochabamba,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,"(-17.4139766, -66.1653224)","Cochabamba, Bolivia",74
near Tres Esquinas Air BaseTQS),Colombia,"(4.570868, -74.297333)",Colombia,"(0.7446495000000001, -75.2349639)","Tres Esquinas Airport (TQS), Solano, Caquetá, Colombia",75
"Goodwin, AR",United States of America,"(37.09024, -95.712891)",United States,"(34.9381496, -91.0209529)","Goodwin, AR 72340, USA",76
Glindow,Germany,"(51.165691, 10.451526)",Germany,"(52.3572443, 12.8894092)","Glindow, 14542 Werder (Havel), Germany",77
Glindow,Germany,"(51.165691, 10.451526)",Germany,"(52.3572443, 12.8894092)","Glindow, 14542 Werder (Havel), Germany",78
at an unknown location,Italy,"(41.87194, 12.56738)",Italy,"(41.87194, 12.56738)",Italy,79
Rio de Janeiro-Santos Dumont Airport,Brazil,"(-14.235004, -51.92528)",Brazil,"(-22.9111438, -43.1648755)","Santos Dumont Airport (SDU) - Praça Sen. Salgado Filho, s/n - Centro, Rio de Janeiro - RJ, 20021-340, Brazil",80
"Saint-Sauveur, Luxeuil-les-Bains",France,"(46.227638, 2.213749)",France,"(47.8181161, 6.3778248)","Boulevard Richet, 70300 Luxeuil-les-Bains, France",81
Tivissa,Spain,"(40.46366700000001, -3.74922)",Spain,"(41.0408609, 0.7330858)","43746 Tivissa, Tarragona, Spain",82
Rangoon-Mingaladon Airport,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(16.8985506, 96.13246819999999)","Yangon International Airport, Yangon Airport Rd, Yangon, Myanmar (Burma)",83
Kirby-in-Furness Moor,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(54.3504163, -3.2104921)","Moor House, Seathwaite, Broughton-in-Furness LA20 6EA, UK",84
Hythe,Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,"(51.071739, 1.081937)","Hythe, UK",85
Calcutta,India,"(20.593684, 78.96288)",India,"(22.572646, 88.36389500000001)","Kolkata, West Bengal, India",86
Amsterdam-Schiphol Municipal AirportAMS),Netherlands,"(52.132633, 5.291265999999999)",Netherlands,"(52.3105386, 4.7682744)","Amsterdam Airport Schiphol (AMS), Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands",87
Johore Straits,Singapore,"(1.352083, 103.819836)",Singapore,"(1.2718732, 103.5668302)",Johor Strait,88
Alexandria,Egypt,"(26.820553, 30.802498)",Egypt,"(31.2000924, 29.9187387)","Alexandria, Alexandria Governorate, Egypt",89
Chongqing AirportCKG),China,"(35.86166, 104.195397)",China,"(29.7191667, 106.6416667)","Chongqing Jiangbei International Airport (CKG), Yubei Qu, China, 401120",90
Fukuoka AirportFUK),Japan,"(36.204824, 138.252924)",Japan,"(33.5903145, 130.4467091)","Fukuoka Airport (FUK), ７７８-１ Shimousui, Hakata Ward, Fukuoka, Fukuoka Prefecture 812-0003, Japan",91
"Hanchung, Hanzhong",China,"(35.86166, 104.195397)",China,"(33.06748, 107.023323)","Hanzhong, Shaanxi, China",92
San Diego-North Island NAS,United States of America,"(37.09024, -95.712891)",United States,"(32.6978305, -117.2043706)","North Island Naval Air Station (Halsey Field), San Diego, CA 92135, USA",93
 Argana,Morocco,"(31.791702, -7.092619999999999)",Morocco,"(30.7821237, -9.1220962)","Argana, Morocco",94
Lumbo ,Mozambique,"(-18.665695, 35.529562)",Mozambique,"(-15.0368144, 40.6702118)","Lumbo, Mozambique",95
near Uruyén,Venezuela,"(6.42375, -66.58973)",Venezuela,"(5.681433999999999, -62.42559799999999)","Uruyén, Bolívar, Venezuela",96
"near El Carmen, Santander",Colombia,"(4.570868, -74.297333)",Colombia,"(6.698923000000001, -73.51159799999999)","El Carmen de Chucurí, Santander, Colombia",97
Tegucigalpa-Toncontin AirportTGU),Honduras,"(15.199999, -86.241905)",Honduras,"(14.060701, -87.2178198)","Toncontín International Airport (TGU), restaurante boca del mar, Tegucigalpa, Honduras",98
Fukuoka AirportFUK),Japan,"(36.204824, 138.252924)",Japan,"(33.5903145, 130.4467091)","Fukuoka Airport (FUK), ７７８-１ Shimousui, Hakata Ward, Fukuoka, Fukuoka Prefecture 812-0003, Japan",99
"Cabezabellosa, Cáceres",Spain,"(40.46366700000001, -3.74922)",Spain,"(40.1376035, -6.0024285)","10729 Cabezabellosa, Cáceres, Spain",100
"Oklahoma City Municipal Air Terminal, OKOKC)",United States of America,"(37.09024, -95.712891)",United States,"(35.393056, -97.600556)","Will Rogers World Airport (OKC), 7100 Terminal Dr, Oklahoma City, OK 73159, USA",101
Sint-Stevens-Woluwe,Belgium,"(50.503887, 4.469936)",Belgium,"(50.8691335, 4.4503263)","Sint-Stevens-Woluwe, 1932 Zaventem, Belgium",102
Sint-Stevens-Woluwe,Belgium,"(50.503887, 4.469936)",Belgium,"(50.8691335, 4.4503263)","Sint-Stevens-Woluwe, 1932 Zaventem, Belgium",103
Tandjong,Indonesia,"(-0.789275, 113.921327)",Indonesia,"(53.1312473, 5.4768476)","Schoolstraat 22, 8822 VP Arum, Netherlands",104
near Weining,China,"(35.86166, 104.195397)",China,"(31.2123321, 121.3848074)","Wei Ning Lu, Changning Qu, Shanghai Shi, China",105
"Vancouver, BC",Canada,"(56.130366, -106.346771)",Canada,"(49.2827291, -123.1207375)","Vancouver, BC, Canada",106
Termes Ribi,France,"(46.227638, 2.213749)",France,"(46.227638, 2.213749)",France,107
San Juan harbor,Puerto Rico,"(18.220833, -66.590149)",Puerto Rico,"(48.5342662, -123.0171242)","Friday Harbor, WA 98250, USA",108
near Köln-Butzweilerhof Airfield,Germany,"(51.165691, 10.451526)",Germany,"(50.9813887, 6.8991614)","Butzweilerstraße 35-39, 50829 Köln, Germany",109
 Port Washington,Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,"(40.8256561, -73.69818579999999)","Port Washington, NY, USA",110
near Katherine-Tindal Airport,Australia,"(-25.274398, 133.775136)",Australia,"(-14.5203415, 132.3775053)","Tindal NT 0853, Australia",111
near Sumapaz,Colombia,"(4.570868, -74.297333)",Colombia,"(4.288955, -74.209862)","Natural Sumapaz National Park, PARQUE NACIONAL NATURAL SUMAPAZ, Bogotá, Colombia",112
"Rio Bonito, RJ",Brazil,"(-14.235004, -51.92528)",Brazil,"(-22.7186089, -42.6279835)","Rio Bonito, RJ, Brazil",113
"Miles City Municipal Airport, MTMLS)",United States of America,"(37.09024, -95.712891)",United States,"(46.4289004, -105.8834368)","Miles City Municipal Airport, Highway 59, Miles City, MT 59301, USA",114
near Senlis,France,"(46.227638, 2.213749)",France,"(49.205164, 2.583212)","60300 Senlis, France",115
Bangkok,Thailand,"(15.870032, 100.992541)",Thailand,"(13.7563309, 100.5017651)","Bangkok, Thailand",116
near Vienna,Austria,"(47.516231, 14.550072)",Austria,"(48.2081743, 16.3738189)","Vienna, Austria",117
 Point Reyes,United States of America,"(37.09024, -95.712891)",United States,"(38.0722847, -122.8817367)","Point Reyes National Seashore, Inverness, CA 94937, USA",118
Lake Habbaniyah,Iraq,"(33.223191, 43.679291)",Iraq,"(33.2919085, 43.4644802)","Habbaniyah Lake, Iraq",119
BathurstBanjul),Gambia,"(13.443182, -15.310139)",The Gambia,"(13.4548761, -16.5790323)","Banjul, The Gambia",120
BathurstBanjul),Gambia,"(13.443182, -15.310139)",The Gambia,"(13.4548761, -16.5790323)","Banjul, The Gambia",121
"Walton Bay, Somerset",United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.4652609, -2.8243767)","Walton Bay, Clevedon BS21, UK",122
"near Regina Airport, SKYQR)",Canada,"(56.130366, -106.346771)",Canada,"(50.4333992, -104.655818)","Regina International Airport, 5201 Regina Ave, Regina, SK S4W 1B3, Canada",123
off Hawaii,Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,"(19.903797, -155.136609)","Botanical World Adventures Hawaii Zip Line, Segway Off-Road, Botanical Gardens, Maze and Waterfalls, 31-240 Old Mamalahoa Hwy, Hakalau, HI 96710, USA",124
